gene_name	A1	A2	A3	AV1	AV2	AV3
0610005C13Rik	0	3.002	2	2	1	1
0610006L08Rik	0	0	0	0	0	0
0610009E02Rik	5.819	5.29	5.337	10.401	13.363	21.099
0610009L18Rik	3	6	5	7	5	11
0610010K14Rik	108.832	184.674	140.76	185.863	152.165	219.947
0610012D04Rik	0	0	0	0	0	0
0610025J13Rik	0	0	0	0	0	0
0610030E20Rik	352.673	418.004	401	500.055	454.323	677
0610031O16Rik	0	0	0	0	0	0
0610033M10Rik	0	0	1	5	0	0
0610038B21Rik	0	1.07	2.018	3.029	3.121	0
0610039K10Rik	0	0	0	4.053	1.005	2.077
0610040B10Rik	2	4	3	3	1	5
0610040F04Rik	0	0	0	0	0	0
0610040J01Rik	0	2	0	1	1	1
0610043K17Rik	1	0	0	1	2	0
0710001A04Rik	0	3	0	1	1	1
1010001B22Rik	0	0	0	2	0	0
1100001I12Rik	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0
1110002J07Rik	0	0	0	0	0	0
1110002L01Rik	15.143	36.165	37.988	37.668	34.352	44.545
1110002O04Rik	0	0	0	0	0	0
1110003F10Rik	0	2	0	1	0	1
1110004F10Rik	675	1152.992	1013.677	1048.001	1096.999	1355
1110006O24Rik	1	3	1	2	1	3
1110008E08Rik	0	0	0	0	0	0
1110013H19Rik	0	3	0	1	0	0
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	3
1110018N20Rik	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0
1110019D14Rik	9	19	21	22	15	28
1110020A21Rik	0	0	1	1	3	4
1110025L11Rik	0	0	0	0	0	0
1110025M09Rik	5	10	6	10	19	8
1110028F11Rik	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0
1110032F04Rik	0	0	0	0	0	1
1110035H17Rik	3.697	3.009	10.569	13.086	11.378	15.413
1110038B12Rik	51	111.999	88.999	84.999	78	102
1110038F14Rik	190	249.999	212	253.001	225.999	295
1110046J04Rik	3	8.007	7.002	9	4.121	5.05
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	190	308	257	254	247	348.001
1110059G10Rik	122	189.001	156.999	177	189	240.999
1110060G06Rik	0	0	0	0	0	0
1110065P20Rik	28.87	65.375	40.553	54.409	46.532	63.798
1190001M18Rik	2	0	0	0	1	1
1190005I06Rik	64.171	136.18	118.271	153	117.269	196.069
1190028D05Rik	0	0	0	0	0	0
1200007C13Rik	3	8	11	8	8	10
1300002E11Rik	63.001	73	76.516	72.001	76.999	96.383
1300014J16Rik	2	2	3	4	0	8
1500002C15Rik	12.836	8.789	14.709	13.517	13.133	18.806
1500002F19Rik	3.378	6.602	0	10.572	0	2.648
1500004A13Rik	74.119	85.279	66.314	99.76	76.112	125.872
1500005C15Rik	0	0	0	0	0	1
1500009L16Rik	1	1	1	0	1	1
1500011B03Rik	24	34	41	43	34	57
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	11	23	16	21	12	17
1500015L24Rik	0	0	0	0	0	0
1500026H17Rik	2	3	0	0	0	0
1500032F14Rik	0	0	0	0	0	0
1500035N22Rik	0	0	0	0	0	0
1600002D24Rik	0	1	0	0	0	0
1600010M07Rik	6	21	19	16	11	15
1600012H06Rik	384.166	615.201	546.448	507.016	528.393	705.682
1600012P17Rik	0	0	0	0	0	0
1600014C10Rik	1063.001	1461.001	1319	1364	1482	1982.99
1600014C23Rik	0	0	0	1	0	0
1600017P15Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	81	77.999	93	111	85	139
1600022D10Rik	2	10	5	10	6	11
1600023N17Rik	0	0	0	1	0	0
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0
1600029O15Rik	2	0	3	1	1	2
1700001C19Rik	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	1	0	5	0	0	2
1700001G17Rik	0	0	0	1	0	3
1700001J03Rik	1	0	0	2	2	2
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0
1700001K19Rik	0	0	1	1	2	0
1700001K23Rik	5	0	4	1	3	4
1700001L05Rik	48	61	74.001	74.999	65	97
1700001N15Rik	0	0	0	0	0	0
1700001O22Rik	0	1	0	1	0	0
1700001P01Rik	3	1	1	0	1	2
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0
1700003E16Rik	0	5	4	5	3	3
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	6	9	3	9	7	10
1700003G18Rik	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0
1700003I16Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M07Rik	0	1	0	0	0	3
1700003N22Rik	1	0	0	0	0	2.012
1700003O11Rik	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0
1700006J14Rik	0	1	0	0	0	0
1700006P03Rik	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0
1700007H22Rik	0	0	0	0	0	0
1700007J10Rik	0	0	0	0	0	0
1700007L15Rik	1	1	0	1	6	7
1700007M16Rik	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	1
1700008B11Rik	0	1	1	4	2	0
1700008C04Rik	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0
1700008J07Rik	30.829	42.456	23.534	29.677	25.415	34.527
1700008K24Rik	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0
1700008O03Rik	0	1	2	1	1	1
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700010B08Rik	0	0	0	1	0	1
1700010B13Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010G06Rik	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	10	16	17	19	22	34
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700010K24Rik	0	0	0	0	0	0
1700010L04Rik	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0
1700011B04Rik	0	1	0	0	0	0
1700011C11Rik	0	0	0	0	0	0
1700011D18Rik	0	0	0	0	0	0
1700011L03Rik	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	1	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012C08Rik	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0
1700012D16Rik	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	1	0	0	0	1
1700013M08Rik	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0
1700014B07Rik	0	0	0	0	0	0
1700014D04Rik	1	0	0	4	0	3
1700014F14Rik	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0
1700015C17Rik	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0
1700015O11Rik	0	0	0	0	0	0
1700016A09Rik	2	1	1	3	1	2
1700016B01Rik	0	0	0	0	0	0
1700016B15Rik	1	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0
1700016H03Rik	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0
1700016J18Rik	0	0	0	0	0	0
1700016K05Rik	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0
1700016P03Rik	22.034	30.906	9.898	25.226	25.406	51.443
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	1483.001	1821.001	1621	2329	2199.999	2841.999
1700017G19Rik	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0
1700018A14Rik	0	0	0	0	0	0
1700018A23Rik	1	0	0	0	0	0
1700018B08Rik	0	0	0	2	0	0
1700018B24Rik	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018L02Rik	3.537	1.08	4.422	13.865	4.918	8.25
1700018P08Rik	0	0	0	0	0	0
1700018P22Rik	0	0	0	0	0	0
1700019A02Rik	0	0	0	1	0	0
1700019A23Rik	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0
1700019D03Rik	0	3	2	1	2	2
1700019E08Rik	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0
1700019J19Rik	0	0	0	0	0	0
1700019L13Rik	5.001	4	0	9	2	3
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	1	2	1	1	0	0
1700019P21Rik	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	1
1700020D12Rik	0	0	0	0	0	0
1700020D14Rik	0	0	0	0	0	0
1700020G03Rik	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0
1700020L13Rik	1.045	1	1	7.456	2.423	6.982
1700020L24Rik	1.004	7.5	12.771	9.152	7.638	17.455
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	0	4	1	3	4	9
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	0	1	0	0	0
1700021A07Rik	0	0	0	0	0	0
1700021F02Rik	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0
1700021J08Rik	1	4.493	12.36	20.115	11.326	13
1700021L23Rik	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	2.153	2.084	4.166	3.033	7.341	6.558
1700022N22Rik	2	18.936	5	6.33	8	10.482
1700023C21Rik	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0
1700023H06Rik	1	2	0	2	3	2
1700024B05Rik	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0
1700024G13Rik	1	0	0	0	0	4
1700024I08Rik	0	0	0	0	0	0
1700024P12Rik	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	1
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0
1700025G04Rik	6	3	8	4	7	9
1700025H01Rik	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N21Rik	0	0	0	0	0	0
1700025N23Rik	2	1	0	1	1	1
1700025O08Rik	0	0	0	0	0	0
1700026D11Rik	0	1	0	1	0	3
1700026F02Rik	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0
1700026N04Rik	0	0	0	0	0	0
1700027A07Rik	2	0	2	0	1	0
1700027F06Rik	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0
1700027J07Rik	0	0	0	2	0	0
1700028B04Rik	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	12	12	13.136	14	8	19
1700028I16Rik	0	2	0	0	0	0
1700028J19Rik	4	10	4	5	1	5
1700028K03Rik	0	0	0	0	0	0
1700028M03Rik	0	0	0	0	0	0
1700028N14Rik	0	0	0	0	0	0
