gene	T78_TMZ	T78	T86_TMZ	T86	T111_TMZ	T111
37135	0.981852653	1.707524791	0.466757616	0.749319725	1.390667686	1.706641057
37226	-1.142417045	-0.907792562	0.286881148	-2.418889825	-0.873027144	-3.070966521
37500	9.34206133	9.598102761	9.604910847	9.563406034	9.687284692	9.614163209
37865	5.826014528	6.439423673	5.805963081	5.76670116	4.844435871	4.58008517
38231	2.266936423	2.302465287	2.871646546	2.005759269	2.015069322	1.680324357
39326	9.396439953	9.470664974	9.239627168	9.355983101	10.02103548	10.12844034
39692	6.35371144	6.831003153	6.081872188	6.141575843	6.93413903	6.98008244
40057	8.961718818	9.619290115	8.337532706	8.780241191	8.094943307	8.496278582
40422	5.839556544	6.841947967	5.81642051	5.848472717	6.852623137	6.953381656
40787	9.169754673	9.421307468	9.625405663	9.645096374	9.292965755	9.280550406
41153	0	-3.899695094	-1.035046947	0	-1.388355457	0
41883	-1.282789701	0	1.771885579	-0.836501268	1.053111336	-1.751465164
42248	7.333253763	7.028082868	7.291842956	7.393922387	7.348533422	7.313490755
A1BG	0.303342394	1.092883966	-2.035046947	-2.418889825	0.712815854	1.211012193
A1BG-AS1	0.789103218	1.263034406	-0.619270551	-0.251538767	0.663572335	0.569491092
A1CF	-1.795859283	0.551885103	0.839153387	-1.418889825	-0.49410907	0
A2M	9.483747268	9.037442626	7.62881733	7.122372471	8.77200769	8.966450656
A2M-AS1	-0.144010303	-0.448114897	-0.161653263	-2.418889825	0.053806444	-1.490050854
A2ML1	-0.281035664	0.41467678	1.903423966	-0.612637459	1.232046713	-3.070966521
A2MP1	0	-1.905088353	0.379620962	-1.836501268	-2.60823228	0
A4GALT	-3.023269779	-3.899695094	-0.298672743	-0.251538767	-1.023269779	-1.751465164
A4GNT	-4.60823228	-1.905088353	-1.621488377	0	-1.873027144	0
ABAT	8.595980979	8.372521209	6.642975877	6.815357676	5.193535217	5.031395196
ABCA1	9.727462735	7.543611876	8.415188242	8.428355985	6.761883612	7.555287009
ABCA10	3.083043129	2.662661255	2.134549534	0.164786278	1.09085343	-0.373327247
ABCA11P	2.700439718	2.950841638	4.174086779	4.399512924	4.158660175	3.844385653
ABCA12	4.267011359	2.242754922	2.822730148	1.164142649	2.849799149	1.569491092
ABCA13	5.65047737	2.616357697	3.379759569	-0.098505545	2.712375673	-2.490050854
ABCA17P	-0.603840511	0.899948986	0.466757616	-0.612637459	0.805705185	0.012926174
ABCA2	5.405039322	4.932108429	4.218936121	4.932486431	4.638363506	4.967122485
ABCA3	5.761843731	5.743972672	5.511562917	6.087144565	6.465501105	6.716634291
ABCA4	-3.023269779	0.41467678	2.402176425	1.102993993	1.477677328	0
ABCA5	8.075874867	7.106233144	4.941951393	4.997202067	4.745075948	4.313463546
ABCA6	2.177917792	1.552377071	1.508935662	-2.418889825	0.390667686	-3.070966521
ABCA7	2.054848477	0.950841638	1.508935662	1.666756592	2.860764203	2.115366237
ABCA8	6.352264173	5.781149852	4.810134583	4.59054214	6.765508226	6.15789258
ABCA9	2.054848477	1.340847077	1.627606838	-1.836501268	1.197865391	-2.077041036
ABCB1/ABCB4	0.350497247	2.519290279	3.134549534	1.279768422	2.248534836	-0.490050854
ABCB10	4.884451397	5.307246355	4.875534352	5.038787331	5.250506871	5.130065982
ABCB11	0	-0.584241333	1.134878054	-3.426625474	0.50589093	0
ABCB5	-3.60823228	0.616357697	2.237563718	-1.418889825	1.560225822	-2.077041036
ABCB6	6.313245852	6.727729897	5.104210838	5.360715425	5.311321459	5.763092829
ABCB7	5.532316959	5.28273632	5.567058626	5.38024459	5.695771158	5.545690426
ABCB8/ASIC3	4.22002033	4.005759269	3.529446172	3.75926238	4.405447844	4.456871844
ABCB9	3.025914699	2.432692217	1.079975377	1.038436182	2.449429314	1.680324357
ABCC1	5.396604781	5.632064595	4.356988892	4.539344953	3.420212891	4.018189049
ABCC10	2.966430467	2.861161366	2.701549057	3.223268078	3.305386906	3.433226548
ABCC11	0.204140717	0.950841638	1.023610215	-1.418889825	0.612588407	-2.490050854
ABCC12	0.303342394	0.899948986	1.237563718	-1.418889825	0.560714954	0
ABCC13	0	-3.899695094	0.379620962	-3.426625474	-2.19759996	0
ABCC2	-0.144010303	0.899948986	1.134878054	-0.098505545	0.560714954	-0.490050854
ABCC3	3.273068242	1.046840254	1.023610215	-2.418889825	2.975446766	3.569369566
ABCC4	4.251491879	4.887330299	4.396502034	4.461986859	4.321206567	4.206252493
ABCC5	5.498601923	5.48307409	4.941951393	4.855491443	4.805498835	4.729607149
ABCC5-AS1	-1.795859283	-1.321928095	-1.2968993	-1.418889825	-2.19759996	-1.751465164
ABCC6	2.279174108	1.999639281	0.379620962	-1.098505545	0.805705185	-0.905088353
ABCC6P1	1.374065718	1.485426827	0.466757616	-1.098505545	-1.023269779	-4.083141235
ABCC6P2	1.806117796	1.222186307	-0.813499442	-1.098505545	0.053806444	-0.905088353
ABCC8	3.266936423	3.772413555	0.964953053	0	0.053806444	0
ABCC9	6.340597873	7.924616569	8.943138952	5.524784592	7.352882087	4.437227739
ABCD1	2.203827598	1.046840254	0.466757616	1.164142649	1.805705185	1.832282436
ABCD2	1.996388746	1.340847077	2.918767849	3.055022076	5.526600958	4.562120286
ABCD3	8.027795441	7.434428071	7.393030007	7.472642106	7.184885258	7.07585348
ABCD4	5.864210912	5.376012488	5.093940405	5.330881034	5.30735566	5.386948865
ABCE1	7.605457294	7.69235745	7.431589533	7.448933979	7.692720104	7.692831672
ABCF1	6.368157204	6.795948728	6.332439417	6.431088034	6.734018587	6.870192079
ABCF2	7.103980136	7.304803056	6.269968201	6.386690257	6.946333175	6.949231422
ABCF3	5.327364015	5.118068965	4.674347654	5.005624549	5.315276387	5.481976983
ABCG1	-1.282789701	-0.321928095	4.549607568	4.708628697	-0.386468347	-0.373327247
ABCG2	2.672651629	2.242754922	3.43496176	3.601696516	4.210622644	4.224657734
ABCG4	-0.902389203	-0.584241333	-0.161653263	-0.836501268	-0.024736678	0
